date,high,low,close
9/20/2018,"1,646.24","1,629.62","1,645.84"
6/22/2017,"1,645.36","1,634.19","1,645.36"
5/29/2015,"1,669.13","1,644.99","1,644.99"
10/18/2017,"1,648.70","1,634.21","1,644.73"
10/12/2017,"1,649.42","1,637.80","1,644.65"
10/10/2017,"1,651.13","1,642.21","1,644.34"
2/16/2015,"1,644.29","1,637.17","1,644.29"
6/8/2017,"1,651.72","1,640.15","1,643.77"
8/23/2018,"1,649.24","1,642.24","1,643.71"
1/23/2018,"1,647.69","1,636.77","1,643.71"
6/26/2017,"1,654.88","1,641.23","1,643.52"
8/22/2018,"1,645.40","1,635.45","1,643.46"
11/9/2017,"1,662.99","1,641.19","1,643.26"
4/15/2019,"1,644.98","1,637.14","1,642.63"
7/13/2017,"1,651.15","1,640.45","1,642.49"
10/13/2017,"1,644.84","1,638.62","1,642.49"
5/21/2015,"1,642.19","1,627.80","1,642.19"
7/8/2019,"1,646.38","1,629.96","1,642.07"
5/5/2017,"1,642.04","1,632.33","1,642.04"
2/13/2015,"1,643.85","1,628.48","1,642.04"
5/11/2017,"1,649.17","1,637.88","1,642.02"
7/1/2019,"1,645.78","1,622.83","1,642.00"
3/10/2015,"1,661.78","1,640.25","1,641.71"
6/21/2017,"1,647.67","1,631.34","1,641.71"
5/23/2017,"1,641.77","1,628.79","1,641.71"
10/11/2017,"1,647.22","1,638.22","1,641.70"
6/3/2015,"1,650.28","1,632.27","1,641.69"
6/1/2017,"1,646.81","1,636.01","1,641.32"
4/12/2019,"1,642.96","1,625.36","1,641.21"
10/2/2017,"1,641.65","1,634.69","1,640.65"
9/17/2018,"1,644.79","1,624.64","1,640.60"
6/7/2017,"1,648.47","1,630.68","1,640.54"
5/30/2017,"1,640.08","1,623.86","1,639.74"
6/14/2017,"1,657.20","1,638.38","1,639.59"
5/8/2017,"1,645.80","1,629.69","1,639.49"
7/17/2017,"1,651.63","1,629.10","1,639.33"
5/31/2017,"1,650.26","1,635.29","1,639.11"
5/24/2017,"1,641.71","1,634.25","1,638.89"
6/12/2017,"1,654.65","1,584.37","1,638.80"
6/2/2015,"1,657.59","1,629.94","1,638.65"
5/26/2015,"1,656.98","1,636.16","1,638.49"
10/16/2017,"1,644.19","1,637.37","1,638.33"
5/4/2017,"1,640.71","1,632.91","1,638.33"
6/5/2017,"1,649.30","1,637.85","1,637.90"
9/29/2017,"1,637.82","1,620.97","1,637.82"
8/21/2018,"1,640.45","1,630.75","1,637.60"
5/20/2015,"1,637.70","1,626.59","1,637.48"
10/17/2017,"1,641.30","1,636.09","1,636.94"
11/21/2017,"1,639.92","1,618.65","1,636.65"
8/10/2015,"1,636.63","1,608.27","1,636.54"
5/2/2017,"1,636.51","1,626.03","1,636.51"
7/21/2015,"1,658.93","1,634.87","1,636.42"
4/29/2015,"1,691.04","1,632.68","1,636.18"
7/16/2015,"1,639.18","1,611.19","1,636.12"
6/16/2017,"1,638.42","1,625.81","1,635.93"
5/26/2017,"1,640.12","1,626.44","1,635.77"
7/17/2015,"1,648.81","1,630.02","1,635.47"
1/22/2018,"1,639.05","1,628.70","1,635.47"
7/5/2019,"1,652.88","1,620.18","1,634.94"
10/5/2018,"1,649.61","1,633.68","1,634.86"
9/14/2018,"1,634.74","1,622.84","1,634.74"
11/10/2017,"1,646.15","1,634.22","1,634.68"
5/4/2015,"1,644.30","1,630.29","1,634.10"
5/3/2017,"1,636.50","1,626.43","1,633.99"
11/16/2017,"1,636.96","1,624.89","1,633.66"
5/19/2015,"1,637.05","1,620.76","1,633.26"
7/15/2019,"1,639.00","1,615.59","1,632.91"
9/6/2018,"1,646.96","1,627.75","1,632.42"
1/9/2018,"1,633.96","1,618.90","1,632.29"
5/29/2017,"1,636.02","1,629.83","1,631.91"
9/5/2018,"1,645.29","1,631.74","1,631.74"
8/9/2018,"1,631.74","1,618.72","1,631.23"
1/24/2018,"1,645.06","1,629.98","1,631.20"
2/17/2015,"1,639.08","1,625.19","1,630.99"
6/28/2017,"1,630.98","1,611.80","1,630.98"
8/20/2018,"1,632.65","1,620.67","1,630.92"
7/9/2019,"1,640.18","1,625.24","1,630.88"
1/19/2018,"1,631.63","1,623.63","1,630.62"
7/16/2019,"1,633.72","1,620.44","1,630.57"
11/13/2017,"1,634.87","1,618.46","1,630.51"
9/19/2018,"1,637.91","1,626.50","1,630.50"
1/11/2018,"1,632.90","1,620.52","1,630.29"
1/10/2018,"1,631.91","1,621.85","1,629.29"
5/22/2017,"1,635.61","1,626.02","1,629.21"
5/19/2017,"1,631.81","1,616.14","1,629.21"
4/10/2019,"1,628.74","1,615.33","1,628.55"
